Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,184572371,2367.9699186736866,2817684,36.14945680211336,459175,3997640,51.28769389697377,54472,0.6988481358891642,8976,
United States of America,Americas,33429396,10099.43,96394,29.12,36990,600930,181.55,1518,0.46,473,Community transmission
India,South-East Asia,30663665,2222,300817,21.8,43733,404211,29.29,5757,0.42,930,Clusters of cases
Brazil,Americas,18855015,8870.47,341710,160.76,62504,526892,247.88,10907,5.13,1780,Community transmission
Russian Federation,Europe,5682634,3893.96,168035,115.14,23962,140041,95.96,4827,3.31,725,Clusters of cases
France,Europe,5677746,8729.71,15573,23.94,2044,110290,169.57,153,0.24,31,Community transmission
Turkey,Europe,5454763,6467.66,34607,41.03,5299,49996,59.28,309,0.37,37,Community transmission
The United Kingdom,Europe,4958872,7304.7,183567,270.4,28334,128268,188.95,142,0.21,37,Community transmission
Argentina,Americas,4574340,10121.17,126639,280.2,21590,96983,214.58,3315,7.33,462,Community transmission
Colombia,Americas,4402582,8652.38,189508,372.44,26721,110019,216.22,4085,8.03,553,Community transmission
Italy,Europe,4264704,7150.57,5571,9.34,907,127704,214.12,162,0.27,24,Clusters of cases
Spain,Europe,3880612,8198.6,73890,156.11,8207,80952,171.03,43,0.09,2,Community transmission
Germany,Europe,3732549,4488.03,4408,5.3,985,91110,109.55,235,0.28,48,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3304135,3933.82,99578,118.56,17212,85261,101.51,997,1.19,166,Community transmission
Poland,Europe,2880503,7588.63,591,1.56,100,75114,197.89,93,0.25,19,Community transmission
Mexico,Americas,2549862,1977.67,36698,28.46,7989,233958,181.46,1155,0.9,269,Community transmission
Indonesia,South-East Asia,2379397,869.91,201125,73.53,34379,62908,23,4417,1.61,1040,Community transmission
Ukraine,Europe,2238974,5119.56,3878,8.87,610,52537,120.13,197,0.45,33,Community transmission
South Africa,Africa,2090909,3525.47,136443,230.06,15500,62628,105.6,2364,3.99,457,Community transmission
Peru,Americas,2069051,6275.2,16986,51.52,2374,193588,587.13,1257,3.81,199,Community transmission
Netherlands,Europe,1692834,9724.69,8541,49.06,2253,17758,102.01,13,0.07,1,Community transmission
Czechia,Europe,1668277,15600.21,990,9.26,107,30311,283.44,8,0.07,0,Community transmission
Chile,Americas,1576336,8246.07,20434,106.89,1871,33328,174.34,783,4.1,40,Community transmission
Philippines,Western Pacific,1450110,1323.32,37568,34.28,4289,25459,23.23,797,0.73,163,Community transmission
Canada,Americas,1418080,3757.28,3344,8.86,441,26381,69.9,108,0.29,13,Community transmission
Iraq,Eastern Mediterranean,1397100,3473.43,51196,127.28,8777,17413,43.29,227,0.56,37,Community transmission
Sweden,Europe,1091730,10571.01,1992,19.29,446,14633,141.69,2,0.02,0,Community transmission
Belgium,Europe,1089105,9452.03,3326,28.87,0,25194,218.65,17,0.15,0,Community transmission
Romania,Europe,1081090,5593.15,298,1.54,60,34098,176.41,16,0.08,2,Community transmission
Bangladesh,South-East Asia,977568,593.58,64310,39.05,11162,15593,9.47,1090,0.66,201,Community transmission
Pakistan,Eastern Mediterranean,966007,437.32,8636,3.91,1517,22469,10.17,188,0.09,17,Community transmission
Portugal,Europe,892741,8670.83,15546,150.99,2170,17118,166.26,26,0.25,1,Clusters of cases
Israel,Europe,844139,9752.59,2271,26.24,93,6429,74.28,0,0,0,Community transmission
Japan,Western Pacific,811712,641.79,11734,9.28,2159,14897,11.78,116,0.09,13,Clusters of cases
Hungary,Europe,808338,8274.08,210,2.15,44,29999,307.07,7,0.07,1,Community transmission
Malaysia,Western Pacific,799790,2471.08,47811,147.72,7097,5768,17.82,598,1.85,91,Community transmission
Jordan,Eastern Mediterranean,754927,7398.97,3523,34.53,646,9800,96.05,50,0.49,5,Community transmission
Serbia,Europe,717093,10352.58,635,9.17,110,7061,101.94,18,0.26,2,Community transmission
Switzerland,Europe,700916,8098.75,969,11.2,0,10305,119.07,1,0.01,0,Community transmission
Nepal,South-East Asia,650162,2231.41,11357,38.98,2077,9291,31.89,179,0.61,28,Community transmission
Austria,Europe,646864,7267.27,656,7.37,111,10507,118.04,18,0.2,3,Community transmission
United Arab Emirates,Eastern Mediterranean,644114,6512.52,11207,113.31,1513,1847,18.67,36,0.36,4,Community transmission
Lebanon,Eastern Mediterranean,546366,8004.84,1500,21.98,401,7867,115.26,16,0.23,2,Community transmission
Morocco,Eastern Mediterranean,537253,1455.55,5892,15.96,1279,9341,25.31,45,0.12,5,Community transmission
Kazakhstan,Europe,497017,2646.99,14331,76.32,0,7934,42.25,175,0.93,0,Clusters of cases
Saudi Arabia,Eastern Mediterranean,496516,1426.2,8924,25.63,1207,7921,22.75,102,0.29,14,Community transmission
Ecuador,Americas,465029,2635.76,6525,36.98,1078,21728,123.15,168,0.95,20,Community transmission
Tunisia,Eastern Mediterranean,464914,3933.74,44811,379.16,9823,15735,133.14,776,6.57,134,Community transmission
Bolivia (Plurinational State of),Americas,448213,3839.73,10590,90.72,1851,17013,145.75,311,2.66,28,Community transmission
